Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Jumbo High Protein Pudding Chocoladesmaak 200 g,"€1,29",JA,"10,0 g","8,5 g","0,9 g",kJ 364 / kcal 86,https://www.jumbo.com/producten/jumbo-high-protein-pudding-chocoladesmaak-200-g-635510CUP,2025-12-09 16:02:07
Melkunie Protein Chocolate Flavoured Pudding 200 g,"€1,79",JA,10 g,7.7 g,1.5 g,318 kJ / 75 kcal,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-pudding-200-g-577753CUP,2025-12-09 16:02:10
Ehrmann High Protein Pudding Topping vanille 200 g,"€1,95",JA,"10,0g","5,0g","2,3g",340kJ/81kcal,https://www.jumbo.com/producten/ehrmann-high-protein-pudding-topping-vanille-200-g-576948CUP,2025-12-09 16:02:12
Alpro Protein Pudding Vanille Smaak 200g,"€2,39",JA,,,,,https://www.jumbo.com/producten/alpro-protein-pudding-vanille-smaak-200g-577341CUP,2025-12-09 16:02:15
Alpro Protein Pudding Chocolade Smaak 200g,"€2,39",JA,"10,2 g","6,5 g","2,9 g",399 kJ / 95 kcal,https://www.jumbo.com/producten/alpro-protein-pudding-chocolade-smaak-200g-577340CUP,2025-12-09 16:02:18
Melkunie Protein Chocolate Flavoured Pudding 200 g,"€10,74",JA,10 g,7.7 g,1.5 g,318 kJ / 75 kcal,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-pudding-200-g-577753TRL,2025-12-09 16:02:20
Melkunie Protein Chocolate Flavoured Pudding 3x 200 g,"€5,37",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-pudding-3x-200-g-736565STK,2025-12-09 16:02:23
Ilo eiwitrijke pudding banaan-toffee,"€1,69",JA,10.3 g,9.8 g,2.6 g,439 kJ / 104 kcal,https://www.jumbo.com/producten/ilo-eiwitrijke-pudding-banaan-toffee-672466STK,2025-12-09 16:02:26
NXT Level Vanilla Flavor Protein Shake 500 ml,"€2,99",JA,10.0 g,4.0 g,0.2 g,247.0 kJ,https://www.jumbo.com/producten/nxt-level-vanilla-flavor-protein-shake-500-ml-572979FLS,2025-12-09 16:02:28
Jumbo High Protein Shake Chocolade Smaak 310 ml,"€1,85",JA,"8,0 g","4,0 g","1,4 g",kJ 258 / kcal 61,https://www.jumbo.com/producten/jumbo-high-protein-shake-chocolade-smaak-310-ml-522115FLS,2025-12-09 16:02:31
Melkunie Protein Vanilla Flavoured Milk Drink 482 ml,"€2,49",JA,5.7 g,4.9 g,0.9 g,216 kJ 51 kcal,https://www.jumbo.com/producten/melkunie-protein-vanilla-flavoured-milk-drink-482-ml-202935STK,2025-12-09 16:02:33
