Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Afbeelding,Verzameld op
"Optimum Nutrition High protein shake chocolate,""€2,99"",NEE,7.6 g,5.4 g,0.3 g,238.0 kJ (56.0 kcal),https://www.ah.nl/producten/product/wi576487/optimum-nutrition-high-protein-shake-chocolate,https://static.ah.nl/dam/product/AHI_4d5573414d4c757a544b7551335756597a4674717951?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:15"
"Müller Müllermilk milkshake vanille,""€1,99"",NEE,3.3 g,9.7 g,3.3 g,345.0 kJ (82.0 kcal),https://www.ah.nl/producten/product/wi550194/mu%CC%88ller-mu%CC%88llermilk-milkshake-vanille,https://static.ah.nl/dam/product/AHI_4354523130323038333030?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:18"
"Upfront Eiwit milkshake mango smaak,""€2,29"",NEE,7.7 g,5.4 g,1.5 g,279.0 kJ (66.0 kcal),https://www.ah.nl/producten/product/wi595152/upfront-eiwit-milkshake-mango-smaak,https://static.ah.nl/dam/product/AHI_4354523130313830313635?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:21"
"Barebells Milkshake cookies & cream,""€3,09"",NEE,7.3 g,3.8 g,1.5 g,249.0 kJ (59.0 kcal),https://www.ah.nl/producten/product/wi593855/barebells-milkshake-cookies-en-cream,https://static.ah.nl/dam/product/AHI_4354523130313731363035?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:24"
"Bol Power shake chocolade,""€3,99"",NEE,6.4 g,3.8 g,3.0 g,306.0 kJ (73.0 kcal),https://www.ah.nl/producten/product/wi601553/bol-power-shake-chocolade,https://static.ah.nl/dam/product/AHI_454d6a51536a7074545a327041315a67765a6a476551?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:28"
"Melkunie Protein chocolade shake 4-pack,""€6,42"",JA,,,,,https://www.ah.nl/producten/product/wi594679/melkunie-protein-chocolade-shake-4-pack,https://static.ah.nl/dam/product/AHI_693955695f4b7139517832494c5f74447a2d33736777?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:33"
"Upfront Eiwit mikshake aardbei,""€2,29"",NEE,7.7 g,5.3 g,1.5 g,278.0 kJ (66.0 kcal),https://www.ah.nl/producten/product/wi586033/upfront-eiwit-mikshake-aardbei,https://static.ah.nl/dam/product/AHI_4354523130313830313030?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:36"
"ESN Proteïne milkshake banaan pakket,""€19,32"",JA,,,,,https://www.ah.nl/producten/product/wi602636/esn-protei%CC%88ne-milkshake-banaan-pakket,https://static.ah.nl/dam/product/AHI_4864594750616473526e327077765a73354e39383277?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:39"
"AH Proteine crisps paprika,""€1,69"",NEE,28.0 g,44.0 g,9.3 g,1672.0 kJ (398.0 kcal),https://www.ah.nl/producten/product/wi524468/ah-proteine-crisps-paprika,https://static.ah.nl/dam/product/AHI_4354523130313838313432?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:42"
"AH Proteine crisps sweet chili,""€1,69"",NEE,26.0 g,52.0 g,8.7 g,1702.0 kJ (404.0 kcal),https://www.ah.nl/producten/product/wi524470/ah-proteine-crisps-sweet-chili,https://static.ah.nl/dam/product/AHI_4354523130313933353532?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:45"
"Yfood This is food drinkmaaltijd classic choco,""€4,39"",NEE,6.7 g,7.2 g,4.5 g,419.0 kJ (100.0 kcal),https://www.ah.nl/producten/product/wi519373/yfood-this-is-food-drinkmaaltijd-classic-choco,https://static.ah.nl/dam/product/AHI_4354523130323032313833?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:48"
"Yfood This is food smooth vanilla,""€4,39"",NEE,6.8 g,6.8 g,4.7 g,418.0 kJ (100.0 kcal),https://www.ah.nl/producten/product/wi519372/yfood-this-is-food-smooth-vanilla,https://static.ah.nl/dam/product/AHI_4354523130323032313834?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:51"
"innocent Super smoothie berry energise,""€3,99"",JA,1.5 g,11.0 g,0.0 g,224.0 kJ (53.0 kcal),https://www.ah.nl/producten/product/wi401895/innocent-super-smoothie-berry-energise,https://static.ah.nl/dam/product/AHI_716d634b32396b3053665749517652634f4e735a5641?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:54"
"innocent Super smoothie green antioxidant,""€3,99"",JA,1.3 g,11.0 g,0.11 g,224.0 kJ (53.0 kcal),https://www.ah.nl/producten/product/wi401896/innocent-super-smoothie-green-antioxidant,https://static.ah.nl/dam/product/AHI_474769396458565a53764351766c693774646d783177?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:34:58"
"AH Vers geperste smoothie aardbei banaan,""€2,59"",NEE,0.5 g,12.0 g,0.0 g,221.0 kJ (52.0 kcal),https://www.ah.nl/producten/product/wi130275/ah-vers-geperste-smoothie-aardbei-banaan,https://static.ah.nl/dam/product/AHI_4354523130303638393235?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:35:02"
"AH Vers geperste smoothie aardbei banaan,""€4,39"",NEE,0.5 g,12.0 g,0.0 g,221.0 kJ (52.0 kcal),https://www.ah.nl/producten/product/wi424881/ah-vers-geperste-smoothie-aardbei-banaan,https://static.ah.nl/dam/product/AHI_4354523130303638393236?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:35:09"
"AH Vers geperste smoothie mango maracuja,""€2,59"",NEE,0.6 g,9.5 g,0.0 g,178.0 kJ (42.0 kcal),https://www.ah.nl/producten/product/wi130276/ah-vers-geperste-smoothie-mango-maracuja,https://static.ah.nl/dam/product/AHI_43545239383731393839?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:35:12"
"AH Smoothie mango passievrucht,""€1,29"",NEE,0.6 g,13.0 g,0.2 g,247.0 kJ (58.0 kcal),https://www.ah.nl/producten/product/wi379563/ah-smoothie-mango-passievrucht,https://static.ah.nl/dam/product/AHI_4354523130313835343032?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:35:15"
Zoek binnen Ah.nl | online bestellen | AH.nl,1,JA,,,,,https://www.ah.nl/producten/product/wi479239,,2025-12-15 14:35:18
Zoek binnen Ah.nl | online bestellen | AH.nl,1,JA,,,,,https://www.ah.nl/producten/product/wi434324,,2025-12-15 14:35:24
"AH Smoothie ananas banaan kokos,""€1,29"",NEE,0.7 g,12.0 g,2.0 g,294.0 kJ (70.0 kcal),https://www.ah.nl/producten/product/wi379566/ah-smoothie-ananas-banaan-kokos,https://static.ah.nl/dam/product/AHI_4354523130313935313333?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:35:27"
"AH Vers geperst sap sinaasappel,""€3,99"",NEE,0.7 g,8.5 g,0.0 g,162.0 kJ (38.0 kcal),https://www.ah.nl/producten/product/wi62198/ah-vers-geperst-sap-sinaasappel,https://static.ah.nl/dam/product/AHI_43545239383731393631?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:35:29"
"AH Smoothie appel aardbei braam zwarte bes,""€1,29"",NEE,0.6 g,10.0 g,0.3 g,202.0 kJ (48.0 kcal),https://www.ah.nl/producten/product/wi440502/ah-smoothie-appel-aardbei-braam-zwarte-bes,https://static.ah.nl/dam/product/AHI_4354523130313838393333?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:35:32"
"AH Vers geperste smoothie mango banaan,""€2,59"",NEE,0.5 g,10.0 g,0.9 g,218.0 kJ (52.0 kcal),https://www.ah.nl/producten/product/wi424880/ah-vers-geperste-smoothie-mango-banaan,https://static.ah.nl/dam/product/AHI_4354523130313930323334?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:35:36"
Zoek binnen Ah.nl | online bestellen | AH.nl,1,JA,,,,,https://www.ah.nl/producten/product/wi571190/ah-terra-verse-smoothie-kokosmelk-ananas-mango,,2025-12-15 14:35:39
Zoek binnen Ah.nl | online bestellen | AH.nl,1,JA,,,,,https://www.ah.nl/producten/product/wi285947/ah-vers-geperst-sap-sinaasappel-aardbei,,2025-12-15 14:35:43
"AH Vers geperst sap ananas meloen mango,""€2,49"",NEE,0.5 g,11.0 g,0.0 g,199.0 kJ (47.0 kcal),https://www.ah.nl/producten/product/wi67839/ah-vers-geperst-sap-ananas-meloen-mango,https://static.ah.nl/dam/product/AHI_43545239383731393636?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:35:46"
"AH Vers geperst sap sinaasappel,""€2,49"",NEE,0.7 g,8.5 g,0.0 g,162.0 kJ (38.0 kcal),https://www.ah.nl/producten/product/wi47354/ah-vers-geperst-sap-sinaasappel,https://static.ah.nl/dam/product/AHI_43545239383731393635?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:35:49"
Zoek binnen Ah.nl | online bestellen | AH.nl,1,JA,,,,,https://www.ah.nl/producten/product/wi479238,,2025-12-15 14:35:53
"AH Vers geperste smoothie wortel mango,""€2,59"",NEE,0.5 g,11.0 g,0.0 g,203.0 kJ (48.0 kcal),https://www.ah.nl/producten/product/wi553792/ah-vers-geperste-smoothie-wortel-mango,https://static.ah.nl/dam/product/AHI_43545239393434353037?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:35:57"
"innocent Super smoothie berry energise,""€2,79"",NEE,1.5 g,11.0 g,0.0 g,224.0 kJ (53.0 kcal),https://www.ah.nl/producten/product/wi475889/innocent-super-smoothie-berry-energise,https://static.ah.nl/dam/product/AHI_49656f4a69685654517a4742445a6f57594957753477?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:36:00"
Zoek binnen Ah.nl | online bestellen | AH.nl,2,JA,,,,,https://www.ah.nl/producten/product/wi582063/ah-verse-protei%CC%88ne-smoothie-kwark-framboos,,2025-12-15 14:36:09
Zoek binnen Ah.nl | online bestellen | AH.nl,1,JA,,,,,https://www.ah.nl/producten/product/wi571191/ah-terra-verse-smoothie-kokosmelk-appel-aardbei,,2025-12-15 14:36:12
