Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Campina Magere Milde Kwark Naturel 500 g,"€1,99",JA,10 g,"2,7 g","0,1 g",235 kJ / 55 kcal,https://www.jumbo.com/producten/campina-magere-milde-kwark-naturel-500-g-168786CUP,2025-12-09 15:16:23
Jumbo Lekker Vrij van Lactose Magere Kwark 500 g,"€1,99",JA,"8,5 g","3,6 g","0,2 g",kJ 221,https://www.jumbo.com/producten/jumbo-lekker-vrij-van-lactose-magere-kwark-500-g-330936CUP,2025-12-09 15:16:25
Optimel Kwark met Magere Yoghurt Vanille 0% Vet 500g,"€2,59",JA,7.0 g,3.6 g,- g,183 kJ / 43 kcal,https://www.jumbo.com/producten/optimel-kwark-met-magere-yoghurt-vanille-0-vet-500g-202676STK,2025-12-09 15:16:28
Danio Romige Kwark Aardbei 450g,"€2,99",JA,,,,,https://www.jumbo.com/producten/danio-romige-kwark-aardbei-450g-681954BKR,2025-12-09 15:16:30
Danio Romige Kwark Vanille Smaak 450 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/danio-romige-kwark-vanille-smaak-450-g-886440BKR,2025-12-09 15:16:33
Danio Romige Kwark Mango Kiwi Banaan 450 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/danio-romige-kwark-mango-kiwi-banaan-450-g-81085PAK,2025-12-09 15:16:35
Campina Magere Milde Kwark met 'n Vleugje Banaan 500 g,"€2,45",JA,"9,3 g","7,0 g","0,1 g",295 kJ / 69 kcal,https://www.jumbo.com/producten/campina-magere-milde-kwark-met-n-vleugje-banaan-500-g-499036CUP,2025-12-09 15:16:38
Optimel Magere Kwark met Magere Yoghurt Appel Kaneel 0% Vet 500g,"€2,59",JA,6.6 g,4.4 g,- g,221 kJ / 52 kcal,https://www.jumbo.com/producten/optimel-magere-kwark-met-magere-yoghurt-appel-kaneel-0-vet-500g-512896CUP,2025-12-09 15:16:41
Campina Volle Milde Kwark Naturel 500 g,"€2,29",JA,"8,5 g","2,8 g","8,8 g",531 kJ / 127 kcal,https://www.jumbo.com/producten/campina-volle-milde-kwark-naturel-500-g-183639STK,2025-12-09 15:16:43
Campina Magere Milde Kwark met 'n Vleugje Mango 500 g,"€2,19",JA,"9,2 g","7,4 g","0,1 g",300 kJ / 71 kcal,https://www.jumbo.com/producten/campina-magere-milde-kwark-met-n-vleugje-mango-500-g-206342STK,2025-12-09 15:16:46
Mona Frambozen,"€2,79",JA,,,,,https://www.jumbo.com/producten/mona-frambozen-308005BLK,2025-12-09 15:16:49
Mona Vanillesmaak Pudding met Aardbeiensaus,"€2,49",JA,,,,,https://www.jumbo.com/producten/mona-vanillesmaak-pudding-met-aardbeiensaus-65703BAK,2025-12-09 15:16:51
Mona Toetje van de Maand,"€2,59",JA,,,,,https://www.jumbo.com/producten/mona-toetje-van-de-maand-121010BAK,2025-12-09 15:16:54
Mona Dame Blanche Pudding met Chocoladesaus,"€2,49",JA,,,,,https://www.jumbo.com/producten/mona-dame-blanche-pudding-met-chocoladesaus-892599BAK,2025-12-09 15:16:56
Mona Pudding Griesmeel met Saus,"€2,49",JA,,,,,https://www.jumbo.com/producten/mona-pudding-griesmeel-met-saus-603163BAK,2025-12-09 15:16:59
Dr. Oetker Kloppudding Aardbeien 74 g,"€0,99",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kloppudding-aardbeien-74-g-180613DS,2025-12-09 15:17:01
Mona Mini Griesmeel Pudding met Rode Bessensaus 2 x 135 ml,"€1,99",JA,,,,,https://www.jumbo.com/producten/mona-mini-griesmeel-pudding-met-rode-bessensaus-2-x-135-ml-75872BAK,2025-12-09 15:17:04
Mona Chipolata Pudding met Stukjes Tropisch Fruit,"€2,59",JA,,,,,https://www.jumbo.com/producten/mona-chipolata-pudding-met-stukjes-tropisch-fruit-304263BAK,2025-12-09 15:17:06
Dr. Oetker Kloppudding Vanille 74 g,"€1,08",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kloppudding-vanille-74-g-180588DS,2025-12-09 15:17:09
"Dr. Oetker Kookpudding Vanille 77,5 g","€0,98",JA,,,,,"https://www.jumbo.com/producten/dr-oetker-kookpudding-vanille-77,5-g-514887DS",2025-12-09 15:17:12
Mona Mini Vanillesmaak Pudding met Aardbeiensaus,"€1,99",JA,,,,,https://www.jumbo.com/producten/mona-mini-vanillesmaak-pudding-met-aardbeiensaus-75779BAK,2025-12-09 15:17:14
Dr. Oetker Kloppudding Banaan 74 g,"€0,99",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kloppudding-banaan-74-g-180589DS,2025-12-09 15:17:17
Jumbo High Protein Pudding Chocoladesmaak 200 g,"€1,29",JA,"10,0 g","8,5 g","0,9 g",kJ 364 / kcal 86,https://www.jumbo.com/producten/jumbo-high-protein-pudding-chocoladesmaak-200-g-635510CUP,2025-12-09 15:17:19
Jumbo High Protein Pudding Karamelsmaak 200 g,"€1,29",JA,"10,0 g","9,1 g","0,9 g",kJ 369 / kcal 87,https://www.jumbo.com/producten/jumbo-high-protein-pudding-karamelsmaak-200-g-635512CUP,2025-12-09 15:17:22
"Dr. Oetker Kookpudding Room 77,5 g","€1,29",JA,,,,,"https://www.jumbo.com/producten/dr-oetker-kookpudding-room-77,5-g-514905DS",2025-12-09 15:17:25
Dr. Oetker Kloppudding Karamel 74 g,"€1,14",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kloppudding-karamel-74-g-180610DS,2025-12-09 15:17:27
Dr. Oetker Kookpudding Chocolade 95 g,"€1,38",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kookpudding-chocolade-95-g-514899DS,2025-12-09 15:17:30
Jumbo High Protein Pudding Vanillesmaak 200 g,"€1,29",JA,"10,0 g","8,4 g","0,9 g",kJ 357 / kcal 84,https://www.jumbo.com/producten/jumbo-high-protein-pudding-vanillesmaak-200-g-635458CUP,2025-12-09 15:17:32
Dr. Oetker Kloppudding Chocolade 80 g,"€1,15",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kloppudding-chocolade-80-g-180611DS,2025-12-09 15:17:35
Dr. Oetker Jelly Aardbeiensmaak Pudding 94 g,"€1,38",JA,,,,,https://www.jumbo.com/producten/dr-oetker-jelly-aardbeiensmaak-pudding-94-g-871672PAK,2025-12-09 15:17:38
Dr. Oetker Kloppudding Frambozen 74 g,"€1,26",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kloppudding-frambozen-74-g-180612DS,2025-12-09 15:17:40
Dr. Oetker Kookpudding Bitterkoekjes 92 g,"€1,29",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kookpudding-bitterkoekjes-92-g-514908DS,2025-12-09 15:17:43
Koopmans Griesmeelpudding Vanillesmaak 500 g,"€1,55",JA,,,,,https://www.jumbo.com/producten/koopmans-griesmeelpudding-vanillesmaak-500-g-447917PAK,2025-12-09 15:17:45
Ehrmann High Protein Pudding Topping vanille 200 g,"€1,95",JA,"10,0g","5,0g","2,3g",340kJ/81kcal,https://www.jumbo.com/producten/ehrmann-high-protein-pudding-topping-vanille-200-g-576948CUP,2025-12-09 15:17:48
Campina Zacht en Luchtig Vanille Smaak 1 L,"€2,59",JA,,,,,https://www.jumbo.com/producten/campina-zacht-en-luchtig-vanille-smaak-1-l-527060PAK,2025-12-09 15:17:51
Ehrmann Grand Dessert Chocolate 190 g,"€1,19",JA,"2,7 g","17,0 g","5,0 g",520 kJ (124 kcal),https://www.jumbo.com/producten/ehrmann-grand-dessert-chocolate-190-g-577184BAK,2025-12-09 15:17:53
Campina Vla Slagroom Vanillesmaak 1 L,"€2,49",JA,,,,,https://www.jumbo.com/producten/campina-vla-slagroom-vanillesmaak-1-l-527089PAK,2025-12-09 15:17:56
Jumbo Vlaatje met Vanille- & Chocoladesmaak 200 g,"€1,49",JA,"2,7 g","13,3 g","2,9 g",kJ 389 / kcal 93,https://www.jumbo.com/producten/jumbo-vlaatje-met-vanille-chocoladesmaak-200-g-578747POT,2025-12-09 15:17:58
Jumbo Tiramisu 80 g - Bevat Alcohol,"€1,39",JA,3.9 g,24.2 g,13.2 g,998.0 kJ,https://www.jumbo.com/producten/jumbo-tiramisu-80-g-bevat-alcohol-677376CUP,2025-12-09 15:18:01
Jumbo Tiramisu Dessert 500 g,"€3,99",JA,,,,,https://www.jumbo.com/producten/jumbo-tiramisu-dessert-500-g-188917STK,2025-12-09 15:18:04
Ehrmann Grand Dessert Vanilla 190 g,"€1,19",JA,"2,5 g",16 g,"4,7 g",488 kJ (116 kcal),https://www.jumbo.com/producten/ehrmann-grand-dessert-vanilla-190-g-577185BAK,2025-12-09 15:18:06
Rolo Crème Dessert met Melkchocolade & Karamel 2 x 70 g,"€1,99",JA,3.4 g,29.1 g,9.7 g,952 kJ,https://www.jumbo.com/producten/rolo-creme-dessert-met-melkchocolade-karamel-2-x-70-g-138054POT,2025-12-09 15:18:09
Jumbo Galetten Dessert 250 g,"€2,32",JA,"7,3 g","63,9 g","21,4 g",kJ 2017,https://www.jumbo.com/producten/jumbo-galetten-dessert-250-g-26008PAK,2025-12-09 15:18:11
