Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op,parsed_price_eur,protein_per_100g_g,package_weight_g,total_protein_g_per_package,PPG_eur_per_protein_g,PQI_estimate,MAS_score
Alpro Plantaardige Variatie Op Yoghurt Naturel Zonder Suiker 500g,"€2,49",JA,"4,0 g",0 g,"2,3 g",177 kJ / 42 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-naturel-zonder-suiker-500g-192073BAK,2025-12-09 15:14:25,2.49,4.0,500.0,20.0,0.1245,0.84,0.0
Alpro Mild & Creamy Citroen-Limoen Variatie Op Yoghurt 750g,"€2,99",JA,,,,,https://www.jumbo.com/producten/alpro-mild-creamy-citroen-limoen-variatie-op-yoghurt-750g-134192PAK,2025-12-09 15:14:28,2.99,,750.0,,,0.9,
Alpro Plantaardige Variatie op Kwark Mango 400 g,"€2,89",JA,"5,2 g","8,4 g","3,0 g",354 kJ / 84 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-kwark-mango-400-g-563539CUP,2025-12-09 15:14:30,2.89,5.2,400.0,20.8,0.138942,0.852,0.0
Alpro Plantaardige Variatie Op Kwark Aardbei 400g,"€2,89",JA,,,,,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-kwark-aardbei-400g-499176CUP,2025-12-09 15:14:33,2.89,,400.0,,,0.9,
Campina Magere Yoghurt 1 L,"€1,69",JA,,,,,https://www.jumbo.com/producten/campina-magere-yoghurt-1-l-527014PAK,2025-12-09 15:14:36,1.69,,1000.0,,,0.9,
Jumbo Yoghurt Griekse Stijl Naturel 10% Vet 1KG,"€2,35",JA,3.4 g,4.2 g,10.0 g,kJ 507,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-naturel-10-vet-1kg-293850EM,2025-12-09 15:14:38,2.35,3.4,1000.0,34.0,0.069118,0.834,0.0
"Campina High Protein Greek Yoghurt 1,5% Fat 1 kg","€3,69",JA,,,,,"https://www.jumbo.com/producten/campina-high-protein-greek-yoghurt-1,5-fat-1-kg-678562CUP",2025-12-09 15:14:41,3.69,,1000.0,,,0.9,
Magere yoghurt 1 L,"€0,83",JA,4.8 g,4.1 g,0.1 g,155.0 kJ,https://www.jumbo.com/producten/magere-yoghurt-1-l-619617PAK,2025-12-09 15:14:44,0.83,4.8,1000.0,48.0,0.017292,0.848,0.0
Halfvolle Vanille Yoghurt 1 L,"€1,59",JA,"3,1 g","12,6 g","1,5 g",335 kJ / 80 kcal,https://www.jumbo.com/producten/halfvolle-vanille-yoghurt-1-l-257952PAK,2025-12-09 15:14:46,1.59,3.1,1000.0,31.0,0.05129,0.831,0.0
Optimel Drinkyoghurt Mango Passievrucht 0% Vet 1L,"€2,19",JA,,,,,https://www.jumbo.com/producten/optimel-drinkyoghurt-mango-passievrucht-0-vet-1l-65649PAK,2025-12-09 15:14:49,2.19,,1000.0,,,0.9,
Volle Yoghurt 1 L,"€1,39",JA,4.6 g,4.1 g,3.0 g,260.0 kJ,https://www.jumbo.com/producten/volle-yoghurt-1-l-619640PAK,2025-12-09 15:14:52,1.39,4.6,1000.0,46.0,0.030217,0.846,0.0
Halfvolle Yoghurt 1 L,"€1,18",JA,4.8 g,4.0 g,1.6 g,209.0 kJ,https://www.jumbo.com/producten/halfvolle-yoghurt-1-l-619619PAK,2025-12-09 15:14:54,1.18,4.8,1000.0,48.0,0.024583,0.848,0.0
"Jumbo Fris Fruitige Aardbeien Magere Yoghurt 0,1% Vet 1 L","€1,69",JA,3.0 g,11.6 g,0.1 g,kJ 266,"https://www.jumbo.com/producten/jumbo-fris-fruitige-aardbeien-magere-yoghurt-0,1-vet-1-l-304575PAK",2025-12-09 15:14:57,1.69,3.0,1000.0,30.0,0.056333,0.83,0.0
"Jumbo Fris Fruitige Perzik Magere Yoghurt 0,1% Vet 1 L","€1,46",JA,3.0 g,11.5 g,0.1 g,kJ 263,"https://www.jumbo.com/producten/jumbo-fris-fruitige-perzik-magere-yoghurt-0,1-vet-1-l-304574PAK",2025-12-09 15:14:59,1.46,3.0,1000.0,30.0,0.048667,0.83,0.0
Jumbo Milde Halfvolle Yoghurt 1 L,"€1,59",JA,"4,2 g","4,3 g","1,5 g",kJ 210,https://www.jumbo.com/producten/jumbo-milde-halfvolle-yoghurt-1-l-373109PAK,2025-12-09 15:15:02,1.59,4.2,1000.0,42.0,0.037857,0.842,0.0
"Jumbo Yoghurt Griekse Stijl 0,1% Vet 1 kg","€2,25",JA,"5,5 g","4,2 g","0,1 g",kJ 176,"https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-0,1-vet-1-kg-612036EM",2025-12-09 15:15:05,2.25,5.5,1000.0,55.0,0.040909,0.855,0.0
Jumbo Biologische Halfvolle Yoghurt 1 L,"€1,69",JA,"4,2 g","4,3 g","1,5 g",210 kJ,https://www.jumbo.com/producten/jumbo-biologische-halfvolle-yoghurt-1-l-420600PAK,2025-12-09 15:15:07,1.69,4.2,1000.0,42.0,0.040238,0.842,0.0
"Jumbo Fris Fruitige Bosvruchten Magere Yoghurt 0,1% Vet 1 L","€1,75",JA,3.1 g,11.6 g,0.1 g,kJ 268,"https://www.jumbo.com/producten/jumbo-fris-fruitige-bosvruchten-magere-yoghurt-0,1-vet-1-l-304573PAK",2025-12-09 15:15:10,1.75,3.1,1000.0,31.0,0.056452,0.831,0.0
"Jumbo Magere Yoghurt 1,5L","€1,99",JA,"4,5 g","4,0 g","0,3 g",kJ 156 / kcal 37,"https://www.jumbo.com/producten/jumbo-magere-yoghurt-1,5l-556405PAK",2025-12-09 15:15:13,1.99,4.5,1500.0,67.5,0.029481,0.845,0.0
Campina Volle Yoghurt 1 L,"€1,95",JA,,,,,https://www.jumbo.com/producten/campina-volle-yoghurt-1-l-526937PAK,2025-12-09 15:15:15,1.95,,1000.0,,,0.9,
Jumbo Yoghurt Griekse Stijl Aardbei 1 kg,"€2,59",JA,"2,9 g","13,5 g","8,2 g",kJ 583 / kcal 140,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-aardbei-1-kg-430618EM,2025-12-09 15:15:18,2.59,2.9,1000.0,29.0,0.08931,0.829,0.0
Jumbo Volle Yoghurt 1L,"€1,69",JA,3.6 g,3.4 g,3.0 g,230.0 kJ,https://www.jumbo.com/producten/jumbo-volle-yoghurt-1l-235186PAK,2025-12-09 15:15:21,1.69,3.6,1000.0,36.0,0.046944,0.836,0.0
Jumbo Yoghurt Griekse Stijl Perzik Passievrucht 1 kg,"€2,59",JA,"2,9 g","13,5 g","8,2 g",kJ 583 / kcal 140,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-perzik-passievrucht-1-kg-430751EM,2025-12-09 15:15:23,2.59,2.9,1000.0,29.0,0.08931,0.829,0.0
Campina Milde Halfvolle Yoghurt 1 L,"€1,89",JA,4 g,3.8 g,1.5 g,206 kJ / 49 kcal,https://www.jumbo.com/producten/campina-milde-halfvolle-yoghurt-1-l-31677PAK,2025-12-09 15:15:26,1.89,4.0,1000.0,40.0,0.04725,0.84,0.0
Jumbo Yoghurtje Fruit met Aardbeien 200 g,"€1,39",JA,"3,9 g","11,9 g","2,8 g",kJ 375 / kcal 89,https://www.jumbo.com/producten/jumbo-yoghurtje-fruit-met-aardbeien-200-g-578580STK,2025-12-09 15:15:28,1.39,3.9,200.0,7.8,0.178205,0.839,0.0
Jumbo Biologisch Volle Yoghurt 1 L,"€1,79",JA,3.6 g,3.4 g,3.0 g,230.0 kJ,https://www.jumbo.com/producten/jumbo-biologisch-volle-yoghurt-1-l-421677PAK,2025-12-09 15:15:31,1.79,3.6,1000.0,36.0,0.049722,0.836,0.0
Jumbo Yoghurt Griekse Stijl Aardbei 4 x 150 g,"€2,49",JA,"2,3 g","12,4 g","7,2 g",kJ 518/kcal 124,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-aardbei-4-x-150-g-561930PAK,2025-12-09 15:15:33,2.49,2.3,600.0,13.8,0.180435,0.823,0.0
Jumbo Yoghurt Griekse Stijl Vanillesmaak 1 kg,"€2,49",JA,"2,6 g","12,3 g","8,2 g",kJ 557 / kcal 133,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-vanillesmaak-1-kg-500820EM,2025-12-09 15:15:36,2.49,2.6,1000.0,26.0,0.095769,0.826,0.0
Jumbo Yoghurt Griekse Stijl Honing 4 x 150 g,"€2,49",JA,"2,4 g","12,5 g","8,1 g",kJ 553/kcal 133,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-honing-4-x-150-g-561928PAK,2025-12-09 15:15:39,2.49,2.4,600.0,14.4,0.172917,0.824,0.0
Jumbo Yoghurt met Vanillesmaak 200 g,"€1,49",JA,"4,1 g","10,1 g","3,1 g",kJ 355 / kcal 84,https://www.jumbo.com/producten/jumbo-yoghurt-met-vanillesmaak-200-g-578055STK,2025-12-09 15:15:41,1.49,4.1,200.0,8.2,0.181707,0.841,0.0
Optimel Magere Kwark met Magere Yoghurt Stracciatella Smaak 0% Vet 500g,"€2,59",JA,6.9 g,3.7 g,- g,222 kJ / 52 kcal,https://www.jumbo.com/producten/optimel-magere-kwark-met-magere-yoghurt-stracciatella-smaak-0-vet-500g-421722CUP,2025-12-09 15:15:44,2.59,6.9,500.0,34.5,0.075072,0.869,0.0
Jumbo Franse Kwark Mager 1 kg,"€1,85",JA,"9,0 g","4,4 g","0,5 g",kJ 250,https://www.jumbo.com/producten/jumbo-franse-kwark-mager-1-kg-394270CUP,2025-12-09 15:15:47,1.85,9.0,1000.0,90.0,0.020556,0.89,0.7
Danone Skyr Drink Aardbei Protein 0% Vet 270 ml,"€1,79",JA,6.0 g,8.7 g,0.2 g,257.0 kJ,https://www.jumbo.com/producten/danone-skyr-drink-aardbei-protein-0-vet-270-ml-697183STK,2025-12-09 15:15:49,1.79,6.0,270.0,16.2,0.110494,0.86,0.75
Jumbo Franse Kwark Vol 500 g,"€1,45",JA,"7,6 g","4,0 g","8,6 g",kJ 529,https://www.jumbo.com/producten/jumbo-franse-kwark-vol-500-g-394227CUP,2025-12-09 15:15:52,1.45,7.6,500.0,38.0,0.038158,0.876,0.0
Jumbo Franse Kwark Mager 500 g,"€1,15",JA,"9,0 g","4,4 g","0,5 g",kJ 250,https://www.jumbo.com/producten/jumbo-franse-kwark-mager-500-g-394225CUP,2025-12-09 15:15:54,1.15,9.0,500.0,45.0,0.025556,0.89,0.7
Danio Romige Kwark Perzik 450 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/danio-romige-kwark-perzik-450-g-692581BKR,2025-12-09 15:15:57,2.99,,450.0,,,0.9,
Jumbo Milde Kwark Mager 500 g,"€1,49",JA,"9,0 g","4,8 g","0,5 g",kJ 268,https://www.jumbo.com/producten/jumbo-milde-kwark-mager-500-g-394229CUP,2025-12-09 15:15:59,1.49,9.0,500.0,45.0,0.033111,0.89,0.7
Optimel Magere Kwark met Magere Yoghurt Aardbei 0% Vet 500g,"€2,59",JA,6.6 g,4.1 g,- g,217 kJ / 51 kcal,https://www.jumbo.com/producten/optimel-magere-kwark-met-magere-yoghurt-aardbei-0-vet-500g-712760PAK,2025-12-09 15:16:02,2.59,6.6,500.0,33.0,0.078485,0.866,0.0
Danio Romige Kwark Stracciatella 450 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/danio-romige-kwark-stracciatella-450-g-384291BKR,2025-12-09 15:16:04,2.99,,450.0,,,0.9,
Jumbo Magere Kwark met Yoghurt Vanille 0% Vet 500 g,"€1,59",JA,8.1 g,4.8 g,0.0 g,kJ 233,https://www.jumbo.com/producten/jumbo-magere-kwark-met-yoghurt-vanille-0-vet-500-g-715947POT,2025-12-09 15:16:07,1.59,8.1,500.0,40.5,0.039259,0.881,0.7
Jumbo Kwark Toetje 6 x 100 g,"€2,25",JA,,,,,https://www.jumbo.com/producten/jumbo-kwark-toetje-6-x-100-g-324866CUP,2025-12-09 15:16:10,2.25,,600.0,,,0.9,
Campina Magere Milde Kwark met 'n Vleugje Vanille 500 g,"€2,09",JA,9.0 g,7.3 g,0.1 g,294.0 kJ,https://www.jumbo.com/producten/campina-magere-milde-kwark-met-n-vleugje-vanille-500-g-168787CUP,2025-12-09 15:16:12,2.09,9.0,500.0,45.0,0.046444,0.89,0.7
Danio Romige Kwark Kers 450 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/danio-romige-kwark-kers-450-g-409201CUP,2025-12-09 15:16:15,2.99,,450.0,,,0.9,
Jumbo Magere Kwark met Yoghurt Aardbei Framboos 0% Vet 500 g,"€1,59",JA,7.2 g,5.8 g,0.0 g,kJ 234,https://www.jumbo.com/producten/jumbo-magere-kwark-met-yoghurt-aardbei-framboos-0-vet-500-g-716153POT,2025-12-09 15:16:17,1.59,7.2,500.0,36.0,0.044167,0.872,0.0
Campina Magere Milde Kwark met 'n Vleugje Aardbei 500 g,"€2,09",JA,"9,0 g","7,3 g","0,1 g",294 kJ / 69 kcal,https://www.jumbo.com/producten/campina-magere-milde-kwark-met-n-vleugje-aardbei-500-g-347423CUP,2025-12-09 15:16:20,2.09,9.0,500.0,45.0,0.046444,0.89,0.7
Campina Magere Milde Kwark Naturel 500 g,"€1,99",JA,10 g,"2,7 g","0,1 g",235 kJ / 55 kcal,https://www.jumbo.com/producten/campina-magere-milde-kwark-naturel-500-g-168786CUP,2025-12-09 15:16:23,1.99,10.0,500.0,50.0,0.0398,0.9,0.7
Jumbo Lekker Vrij van Lactose Magere Kwark 500 g,"€1,99",JA,"8,5 g","3,6 g","0,2 g",kJ 221,https://www.jumbo.com/producten/jumbo-lekker-vrij-van-lactose-magere-kwark-500-g-330936CUP,2025-12-09 15:16:25,1.99,8.5,500.0,42.5,0.046824,0.885,0.7
Optimel Kwark met Magere Yoghurt Vanille 0% Vet 500g,"€2,59",JA,7.0 g,3.6 g,- g,183 kJ / 43 kcal,https://www.jumbo.com/producten/optimel-kwark-met-magere-yoghurt-vanille-0-vet-500g-202676STK,2025-12-09 15:16:28,2.59,7.0,500.0,35.0,0.074,0.87,0.0
Danio Romige Kwark Aardbei 450g,"€2,99",JA,,,,,https://www.jumbo.com/producten/danio-romige-kwark-aardbei-450g-681954BKR,2025-12-09 15:16:30,2.99,,450.0,,,0.9,
Danio Romige Kwark Vanille Smaak 450 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/danio-romige-kwark-vanille-smaak-450-g-886440BKR,2025-12-09 15:16:33,2.99,,450.0,,,0.9,
Danio Romige Kwark Mango Kiwi Banaan 450 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/danio-romige-kwark-mango-kiwi-banaan-450-g-81085PAK,2025-12-09 15:16:35,2.99,,450.0,,,0.9,
Campina Magere Milde Kwark met 'n Vleugje Banaan 500 g,"€2,45",JA,"9,3 g","7,0 g","0,1 g",295 kJ / 69 kcal,https://www.jumbo.com/producten/campina-magere-milde-kwark-met-n-vleugje-banaan-500-g-499036CUP,2025-12-09 15:16:38,2.45,9.3,500.0,46.5,0.052688,0.893,0.7
Optimel Magere Kwark met Magere Yoghurt Appel Kaneel 0% Vet 500g,"€2,59",JA,6.6 g,4.4 g,- g,221 kJ / 52 kcal,https://www.jumbo.com/producten/optimel-magere-kwark-met-magere-yoghurt-appel-kaneel-0-vet-500g-512896CUP,2025-12-09 15:16:41,2.59,6.6,500.0,33.0,0.078485,0.866,0.0
Campina Volle Milde Kwark Naturel 500 g,"€2,29",JA,"8,5 g","2,8 g","8,8 g",531 kJ / 127 kcal,https://www.jumbo.com/producten/campina-volle-milde-kwark-naturel-500-g-183639STK,2025-12-09 15:16:43,2.29,8.5,500.0,42.5,0.053882,0.885,0.7
Campina Magere Milde Kwark met 'n Vleugje Mango 500 g,"€2,19",JA,"9,2 g","7,4 g","0,1 g",300 kJ / 71 kcal,https://www.jumbo.com/producten/campina-magere-milde-kwark-met-n-vleugje-mango-500-g-206342STK,2025-12-09 15:16:46,2.19,9.2,500.0,46.0,0.047609,0.892,0.7
Mona Frambozen,"€2,79",JA,,,,,https://www.jumbo.com/producten/mona-frambozen-308005BLK,2025-12-09 15:16:49,2.79,,,,,0.7,
Mona Vanillesmaak Pudding met Aardbeiensaus,"€2,49",JA,,,,,https://www.jumbo.com/producten/mona-vanillesmaak-pudding-met-aardbeiensaus-65703BAK,2025-12-09 15:16:51,2.49,,,,,0.7,
Mona Toetje van de Maand,"€2,59",JA,,,,,https://www.jumbo.com/producten/mona-toetje-van-de-maand-121010BAK,2025-12-09 15:16:54,2.59,,,,,0.7,
Mona Dame Blanche Pudding met Chocoladesaus,"€2,49",JA,,,,,https://www.jumbo.com/producten/mona-dame-blanche-pudding-met-chocoladesaus-892599BAK,2025-12-09 15:16:56,2.49,,,,,0.7,
Mona Pudding Griesmeel met Saus,"€2,49",JA,,,,,https://www.jumbo.com/producten/mona-pudding-griesmeel-met-saus-603163BAK,2025-12-09 15:16:59,2.49,,,,,0.7,
Dr. Oetker Kloppudding Aardbeien 74 g,"€0,99",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kloppudding-aardbeien-74-g-180613DS,2025-12-09 15:17:01,0.99,,74.0,,,0.7,
Mona Mini Griesmeel Pudding met Rode Bessensaus 2 x 135 ml,"€1,99",JA,,,,,https://www.jumbo.com/producten/mona-mini-griesmeel-pudding-met-rode-bessensaus-2-x-135-ml-75872BAK,2025-12-09 15:17:04,1.99,,270.0,,,0.7,
Mona Chipolata Pudding met Stukjes Tropisch Fruit,"€2,59",JA,,,,,https://www.jumbo.com/producten/mona-chipolata-pudding-met-stukjes-tropisch-fruit-304263BAK,2025-12-09 15:17:06,2.59,,,,,0.7,
Dr. Oetker Kloppudding Vanille 74 g,"€1,08",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kloppudding-vanille-74-g-180588DS,2025-12-09 15:17:09,1.08,,74.0,,,0.7,
"Dr. Oetker Kookpudding Vanille 77,5 g","€0,98",JA,,,,,"https://www.jumbo.com/producten/dr-oetker-kookpudding-vanille-77,5-g-514887DS",2025-12-09 15:17:12,0.98,,77.5,,,0.7,
Mona Mini Vanillesmaak Pudding met Aardbeiensaus,"€1,99",JA,,,,,https://www.jumbo.com/producten/mona-mini-vanillesmaak-pudding-met-aardbeiensaus-75779BAK,2025-12-09 15:17:14,1.99,,,,,0.7,
Dr. Oetker Kloppudding Banaan 74 g,"€0,99",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kloppudding-banaan-74-g-180589DS,2025-12-09 15:17:17,0.99,,74.0,,,0.7,
Jumbo High Protein Pudding Chocoladesmaak 200 g,"€1,29",JA,"10,0 g","8,5 g","0,9 g",kJ 364 / kcal 86,https://www.jumbo.com/producten/jumbo-high-protein-pudding-chocoladesmaak-200-g-635510CUP,2025-12-09 15:17:19,1.29,10.0,200.0,20.0,0.0645,0.9,1.0
Jumbo High Protein Pudding Karamelsmaak 200 g,"€1,29",JA,"10,0 g","9,1 g","0,9 g",kJ 369 / kcal 87,https://www.jumbo.com/producten/jumbo-high-protein-pudding-karamelsmaak-200-g-635512CUP,2025-12-09 15:17:22,1.29,10.0,200.0,20.0,0.0645,0.9,1.0
"Dr. Oetker Kookpudding Room 77,5 g","€1,29",JA,,,,,"https://www.jumbo.com/producten/dr-oetker-kookpudding-room-77,5-g-514905DS",2025-12-09 15:17:25,1.29,,77.5,,,0.7,
Dr. Oetker Kloppudding Karamel 74 g,"€1,14",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kloppudding-karamel-74-g-180610DS,2025-12-09 15:17:27,1.14,,74.0,,,0.7,
Dr. Oetker Kookpudding Chocolade 95 g,"€1,38",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kookpudding-chocolade-95-g-514899DS,2025-12-09 15:17:30,1.38,,95.0,,,0.7,
Jumbo High Protein Pudding Vanillesmaak 200 g,"€1,29",JA,"10,0 g","8,4 g","0,9 g",kJ 357 / kcal 84,https://www.jumbo.com/producten/jumbo-high-protein-pudding-vanillesmaak-200-g-635458CUP,2025-12-09 15:17:32,1.29,10.0,200.0,20.0,0.0645,0.9,1.0
Dr. Oetker Kloppudding Chocolade 80 g,"€1,15",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kloppudding-chocolade-80-g-180611DS,2025-12-09 15:17:35,1.15,,80.0,,,0.7,
Dr. Oetker Jelly Aardbeiensmaak Pudding 94 g,"€1,38",JA,,,,,https://www.jumbo.com/producten/dr-oetker-jelly-aardbeiensmaak-pudding-94-g-871672PAK,2025-12-09 15:17:38,1.38,,94.0,,,0.7,
Dr. Oetker Kloppudding Frambozen 74 g,"€1,26",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kloppudding-frambozen-74-g-180612DS,2025-12-09 15:17:40,1.26,,74.0,,,0.7,
Dr. Oetker Kookpudding Bitterkoekjes 92 g,"€1,29",JA,,,,,https://www.jumbo.com/producten/dr-oetker-kookpudding-bitterkoekjes-92-g-514908DS,2025-12-09 15:17:43,1.29,,92.0,,,0.7,
Koopmans Griesmeelpudding Vanillesmaak 500 g,"€1,55",JA,,,,,https://www.jumbo.com/producten/koopmans-griesmeelpudding-vanillesmaak-500-g-447917PAK,2025-12-09 15:17:45,1.55,,500.0,,,0.7,
Ehrmann High Protein Pudding Topping vanille 200 g,"€1,95",JA,"10,0g","5,0g","2,3g",340kJ/81kcal,https://www.jumbo.com/producten/ehrmann-high-protein-pudding-topping-vanille-200-g-576948CUP,2025-12-09 15:17:48,1.95,10.0,200.0,20.0,0.0975,0.7,1.0
Campina Zacht en Luchtig Vanille Smaak 1 L,"€2,59",JA,,,,,https://www.jumbo.com/producten/campina-zacht-en-luchtig-vanille-smaak-1-l-527060PAK,2025-12-09 15:17:51,2.59,,1000.0,,,0.9,
Ehrmann Grand Dessert Chocolate 190 g,"€1,19",JA,"2,7 g","17,0 g","5,0 g",520 kJ (124 kcal),https://www.jumbo.com/producten/ehrmann-grand-dessert-chocolate-190-g-577184BAK,2025-12-09 15:17:53,1.19,2.7,190.0,5.13,0.231969,0.627,0.0
Campina Vla Slagroom Vanillesmaak 1 L,"€2,49",JA,,,,,https://www.jumbo.com/producten/campina-vla-slagroom-vanillesmaak-1-l-527089PAK,2025-12-09 15:17:56,2.49,,1000.0,,,0.9,
Jumbo Vlaatje met Vanille- & Chocoladesmaak 200 g,"€1,49",JA,"2,7 g","13,3 g","2,9 g",kJ 389 / kcal 93,https://www.jumbo.com/producten/jumbo-vlaatje-met-vanille-chocoladesmaak-200-g-578747POT,2025-12-09 15:17:58,1.49,2.7,200.0,5.4,0.275926,0.827,0.0
Jumbo Tiramisu 80 g - Bevat Alcohol,"€1,39",JA,3.9 g,24.2 g,13.2 g,998.0 kJ,https://www.jumbo.com/producten/jumbo-tiramisu-80-g-bevat-alcohol-677376CUP,2025-12-09 15:18:01,1.39,3.9,80.0,3.12,0.445513,0.839,0.0
Jumbo Tiramisu Dessert 500 g,"€3,99",JA,,,,,https://www.jumbo.com/producten/jumbo-tiramisu-dessert-500-g-188917STK,2025-12-09 15:18:04,3.99,,500.0,,,0.9,
Ehrmann Grand Dessert Vanilla 190 g,"€1,19",JA,"2,5 g",16 g,"4,7 g",488 kJ (116 kcal),https://www.jumbo.com/producten/ehrmann-grand-dessert-vanilla-190-g-577185BAK,2025-12-09 15:18:06,1.19,2.5,190.0,4.75,0.250526,0.625,0.0
Rolo Crème Dessert met Melkchocolade & Karamel 2 x 70 g,"€1,99",JA,3.4 g,29.1 g,9.7 g,952 kJ,https://www.jumbo.com/producten/rolo-creme-dessert-met-melkchocolade-karamel-2-x-70-g-138054POT,2025-12-09 15:18:09,1.99,3.4,140.0,4.76,0.418067,0.834,0.0
Jumbo Galetten Dessert 250 g,"€2,32",JA,"7,3 g","63,9 g","21,4 g",kJ 2017,https://www.jumbo.com/producten/jumbo-galetten-dessert-250-g-26008PAK,2025-12-09 15:18:11,2.32,7.3,250.0,18.25,0.127123,0.873,0.0
Jumbo Salted Caramel Stracciatella 70 g - Bevat Alcohol,"€1,39",JA,3.5 g,39.1 g,10.3 g,1149.0 kJ,https://www.jumbo.com/producten/jumbo-salted-caramel-stracciatella-70-g-bevat-alcohol-677425CUP,2025-12-09 15:18:14,1.39,3.5,70.0,2.45,0.567347,0.835,0.0
Jumbo Cappuccino Mousse met Biscuit 75g - Bevat Alcohol,"€1,55",JA,3.0 g,36.8 g,11.5 g,1157.0 kJ,https://www.jumbo.com/producten/jumbo-cappuccino-mousse-met-biscuit-75g-bevat-alcohol-677375CUP,2025-12-09 15:18:16,1.55,3.0,75.0,2.25,0.688889,0.83,0.0
Ehrmann Grand Dessert Café au Lait 190 g,"€1,29",JA,"2,6 g",17 g,"4,9 g",515 kJ (123 kcal),https://www.jumbo.com/producten/ehrmann-grand-dessert-cafe-au-lait-190-g-577187BAK,2025-12-09 15:18:19,1.29,2.6,190.0,4.94,0.261134,0.626,0.0
Oddlygood Dreamy Berries Dessert 130g,"€1,79",JA,,,,,https://www.jumbo.com/producten/oddlygood-dreamy-berries-dessert-130g-607571CUP,2025-12-09 15:18:22,1.79,,130.0,,,0.7,
Jumbo Romige Chocolade- Vanille Smaak Dubbelvla 1 L,"€1,89",JA,"2,5 g","14,5 g","2,8 g",kJ 396,https://www.jumbo.com/producten/jumbo-romige-chocolade-vanille-smaak-dubbelvla-1-l-31811PAK,2025-12-09 15:18:24,1.89,2.5,1000.0,25.0,0.0756,0.825,0.0
Jumbo Vanille Smaak Mousse & Cookie 65g,"€1,39",JA,2.4 g,26.9 g,9.6 g,881.0 kJ,https://www.jumbo.com/producten/jumbo-vanille-smaak-mousse-cookie-65g-677377CUP,2025-12-09 15:18:27,1.39,2.4,65.0,1.56,0.891026,0.824,0.0
Alpro Dessert Vanille Smaak Houdbaar 525g,"€1,99",JA,"3,0 g","11,3 g","1,7 g",317 kJ / 75 kcal,https://www.jumbo.com/producten/alpro-dessert-vanille-smaak-houdbaar-525g-270893STK,2025-12-09 15:18:29,1.99,3.0,525.0,15.75,0.126349,0.63,0.0
Hertog IJs IJssalon Slagroom 900ml,"€4,75",JA,"3,7 g",23 g,13 g,925 kJ,https://www.jumbo.com/producten/hertog-ijs-ijssalon-slagroom-900ml-230352STK,2025-12-09 15:18:32,4.75,3.7,900.0,33.3,0.142643,0.637,0.0
Droom Rijstdessert Vanille Smaak 200 g,"€0,79",JA,3.4 g,21 g,1.3 g,464 kJ,https://www.jumbo.com/producten/droom-rijstdessert-vanille-smaak-200-g-578752CUP,2025-12-09 15:18:35,0.79,3.4,200.0,6.8,0.116176,0.634,0.0
Ehrmann Grand Dessert Double Choc 190 g,"€1,29",JA,"2,8 g",17 g,"4,4 g",499 kJ (119 kcal),https://www.jumbo.com/producten/ehrmann-grand-dessert-double-choc-190-g-577188BAK,2025-12-09 15:18:37,1.29,2.8,190.0,5.32,0.242481,0.628,0.0
Oddlygood Dreamy Caramel Dessert 130g,"€1,79",JA,,,,,https://www.jumbo.com/producten/oddlygood-dreamy-caramel-dessert-130g-607568CUP,2025-12-09 15:18:40,1.79,,130.0,,,0.7,
Ehrmann Grand Dessert Vanilla 4 x 190g,"€4,76",JA,,,,,https://www.jumbo.com/producten/ehrmann-grand-dessert-vanilla-4-x-190g-618248STK,2025-12-09 15:18:42,4.76,,760.0,,,0.7,
Jumbo Romige Vla Vanillesmaak 1 L,"€1,59",JA,"2,4 g","13,6 g","2,8 g",kJ 377,https://www.jumbo.com/producten/jumbo-romige-vla-vanillesmaak-1-l-236884PAK,2025-12-09 15:18:45,1.59,2.4,1000.0,24.0,0.06625,0.824,0.0
