Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op,parsed_price_eur,protein_per_100g_g,package_weight_g,total_protein_g_per_package,PPG_eur_per_protein_g,PQI_estimate,MAS_score
NXT Level Protein Shake Vanilla Flavor 330 ml,"€2,27",JA,"7,6g","3,9g","0,1g",202kJ 48kcal,https://www.jumbo.com/producten/nxt-level-protein-shake-vanilla-flavor-330-ml-458003FLS,2025-12-09 15:40:12,2.27,7.6,330.0,25.08,0.09051,0.676,0.95
Melkunie Protein Chocolate Flavoured Shake 250 ml,"€1,69",JA,8.1 g,6.3 g,1.2 g,280 kJ 73 kcal,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-shake-250-ml-406774FLS,2025-12-09 15:40:15,1.69,8.1,250.0,20.25,0.083457,0.881,1.0
Melkunie Protein Raspberry & Strawberry Flavoured Shake 225 ml,"€1,69",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-raspberry-strawberry-flavoured-shake-225-ml-192505PAK,2025-12-09 15:40:18,1.69,,225.0,,,0.9,
HiPRO Protein Drink Mango 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-mango-300-ml-494984FLS,2025-12-09 15:40:21,2.49,,300.0,,,0.7,
HiPRO Protein Drink Perzik Passievrucht 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-perzik-passievrucht-300-ml-547423FLS,2025-12-09 15:40:23,2.49,,300.0,,,0.7,
HiPRO Protein Drink Banaan 300 ml,"€2,49",JA,8.3 g,5.6 g,0.5 g,253.0 kJ,https://www.jumbo.com/producten/hipro-protein-drink-banaan-300-ml-607868FLS,2025-12-09 15:40:26,2.49,8.3,300.0,24.9,0.1,0.683,1.0
HiPRO Protein Drink Bosbes 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-bosbes-300-ml-585526FLS,2025-12-09 15:40:29,2.49,,300.0,,,0.7,
HiPRO Protein Drink Vanille Cookies 300 ml,"€2,49",JA,8.3 g,5.5 g,0.5 g,252.0 kJ,https://www.jumbo.com/producten/hipro-protein-drink-vanille-cookies-300-ml-433887FLS,2025-12-09 15:40:31,2.49,8.3,300.0,24.9,0.1,0.683,1.0
"Jumbo Smoothie Mix Proteïne Banaan, Mango, Drakenfruit & Erwteneiwit 250 g","€2,49",JA,4.0 g,14.9 g,0.7 g,361.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-mix-proteine-banaan-mango-drakenfruit-erwteneiwit-250-g-698541STK,2025-12-09 15:40:34,2.49,4.0,250.0,10.0,0.249,0.89,0.0
"Jumbo Smoothie Mix Proteïne Mango, Banaan, Spinazie & Erwteneiwit 250 g","€2,49",JA,4.1 g,13.9 g,0.56 g,340.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-mix-proteine-mango-banaan-spinazie-erwteneiwit-250-g-698504STK,2025-12-09 15:40:36,2.49,4.1,250.0,10.25,0.242927,0.891,0.0
Starbucks Caffè Latte Protein Drink with Coffee 330 ml,"€2,69",JA,6.1g,4.1g,1.1g,215kJ/51kcal,https://www.jumbo.com/producten/starbucks-caffe-latte-protein-drink-with-coffee-330-ml-680583FLS,2025-12-09 15:40:39,2.69,6.1,330.0,20.13,0.133631,0.661,0.762
Zuivelhoeve XXL Nutrition Fit Drink Strawberry Flavor Protein Drink 330 ml,"€2,39",JA,10.0 g,3.5 g,0.8 g,255.0 kJ,https://www.jumbo.com/producten/zuivelhoeve-xxl-nutrition-fit-drink-strawberry-flavor-protein-drink-330-ml-707505FLS,2025-12-09 15:40:41,2.39,10.0,330.0,33.0,0.072424,0.7,1.0
Zuivelhoeve XXL Nutrition Fit Drink Chocolate Flavor Protein Drink 330 ml,"€2,39",JA,10 g,3.5 g,0.8 g,261 kJ / 62 kcal,https://www.jumbo.com/producten/zuivelhoeve-xxl-nutrition-fit-drink-chocolate-flavor-protein-drink-330-ml-707509ZK,2025-12-09 15:40:44,2.39,10.0,330.0,33.0,0.072424,0.7,1.0
HiPRO Protein Drink Stracciatella 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-stracciatella-300-ml-547424FLS,2025-12-09 15:40:47,2.49,,300.0,,,0.7,
HiPRO Protein Drink Kokos 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-kokos-300-ml-613297FLS,2025-12-09 15:40:49,2.49,,300.0,,,0.7,
CoolBest Protein Drink Strawberry 330ml,"€1,99",JA,6.2 g,7.0 g,0.0 g,247.0 kJ,https://www.jumbo.com/producten/coolbest-protein-drink-strawberry-330ml-686186PAK,2025-12-09 15:40:52,1.99,6.2,330.0,20.46,0.097263,0.662,0.775
HiPRO Protein Drink Mango 6 x 300 ml,"€14,94",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-mango-6-x-300-ml-494984DSL,2025-12-09 15:40:55,14.94,,1800.0,,,0.7,
CoolBest Protein Drink Mango 330ml,"€1,99",JA,6.2 g,7.4 g,0.0 g,256.0 kJ,https://www.jumbo.com/producten/coolbest-protein-drink-mango-330ml-686188PAK,2025-12-09 15:40:57,1.99,6.2,330.0,20.46,0.097263,0.662,0.775
CoolBest Protein Drink Passionfruit 330ml,"€1,99",JA,6.2 g,7.0 g,0.0 g,253.0 kJ,https://www.jumbo.com/producten/coolbest-protein-drink-passionfruit-330ml-686196PAK,2025-12-09 15:41:00,1.99,6.2,330.0,20.46,0.097263,0.662,0.775
Melkunie Protein Strawberry Vanilla Yogurt Drink 330 ml,"€1,99",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-strawberry-vanilla-yogurt-drink-330-ml-521731FLS,2025-12-09 15:41:02,1.99,,330.0,,,0.9,
Melkunie Protein Blueberry Yogurt Drink 330 ml,"€1,99",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-blueberry-yogurt-drink-330-ml-521732FLS,2025-12-09 15:41:05,1.99,,330.0,,,0.9,
XXL Crunchy Protein Bar Coconut 60g,"€2,49",JA,,,,,https://www.jumbo.com/producten/xxl-crunchy-protein-bar-coconut-60g-703385RP,2025-12-09 15:41:08,2.49,,60.0,,,0.7,
HiPRO Protein Bar Caramel 45 g,"€1,99",JA,,,,,https://www.jumbo.com/producten/hipro-protein-bar-caramel-45-g-671845STK,2025-12-09 15:41:10,1.99,,45.0,,,0.7,
Barebells Protein Bar White Chocolate Almond 55 g,"€2,90",JA,36 g,29 g,15 g,1518 kJ,https://www.jumbo.com/producten/barebells-protein-bar-white-chocolate-almond-55-g-305433PAK,2025-12-09 15:41:13,2.9,36.0,55.0,19.8,0.146465,0.96,1.0
Barebells Soft Protein Bar Caramel Choco 55 g,"€2,96",JA,28 g,31 g,17 g,1539 kJ,https://www.jumbo.com/producten/barebells-soft-protein-bar-caramel-choco-55-g-630476PAK,2025-12-09 15:41:15,2.96,28.0,55.0,15.4,0.192208,0.88,1.0
Barebells Protein Bar Caramel Cashew 55 g,"€2,96",JA,36 g,30 g,15 g,1535 kJ,https://www.jumbo.com/producten/barebells-protein-bar-caramel-cashew-55-g-524344PAK,2025-12-09 15:41:18,2.96,36.0,55.0,19.8,0.149495,0.96,1.0
Barebells Soft Protein Bar Salty Chocolate 55 g,"€2,99",JA,28 g,33 g,16 g,1508 kJ,https://www.jumbo.com/producten/barebells-soft-protein-bar-salty-chocolate-55-g-630477PAK,2025-12-09 15:41:21,2.99,28.0,55.0,15.4,0.194156,0.88,1.0
Holie's Crunchy Bar Protein Chocolate Chip 3 x 2 Stuks 6 x 20 g,"€3,26",JA,22 g,23.4 g,31.5 g,2093 kJ,https://www.jumbo.com/producten/holie-s-crunchy-bar-protein-chocolate-chip-3-x-2-stuks-6-x-20-g-674168DS,2025-12-09 15:41:23,3.26,22.0,120.0,26.4,0.123485,0.82,1.0
Barebells Protein Bar Salty Peanut 55 g,"€2,90",JA,37 g,27 g,15 g,1543 kJ,https://www.jumbo.com/producten/barebells-protein-bar-salty-peanut-55-g-305432ZK,2025-12-09 15:41:26,2.9,37.0,55.0,20.35,0.142506,1.0,1.0
Killerbody 3-pack Protein Bars Cookies & Cream 120g,"€4,59",JA,32.0 g,36.0 g,17.0 g,1577.0 kJ,https://www.jumbo.com/producten/killerbody-3-pack-protein-bars-cookies-cream-120g-605231DS,2025-12-09 15:41:28,4.59,32.0,120.0,38.4,0.119531,0.92,1.0
Barebells Protein Bar Cookies & Cream 55 g,"€2,90",JA,37 g,31 g,12 g,1475 kJ,https://www.jumbo.com/producten/barebells-protein-bar-cookies-cream-55-g-305431PAK,2025-12-09 15:41:31,2.9,37.0,55.0,20.35,0.142506,0.97,1.0
XXL N'Joy Protein bar White choco/Blueberry 55g,"€2,49",JA,36.0 g,35.0 g,15.0 g,1586.0 kJ,https://www.jumbo.com/producten/xxl-n-joy-protein-bar-white-chocoblueberry-55g-703389RP,2025-12-09 15:41:34,2.49,36.0,55.0,19.8,0.125758,0.96,1.0
XXL Nutrition N'Joy Protein bar Cookies & Cream 55g,"€2,49",JA,,,,,https://www.jumbo.com/producten/xxl-nutrition-n-joy-protein-bar-cookies-cream-55g-703388RP,2025-12-09 15:41:36,2.49,,55.0,,,0.7,
Barebells Protein Bar Hazelnut & Nougat 55 g,"€2,96",JA,36 g,29 g,16 g,1562 kJ,https://www.jumbo.com/producten/barebells-protein-bar-hazelnut-nougat-55-g-305434PAK,2025-12-09 15:41:39,2.96,36.0,55.0,19.8,0.149495,0.96,1.0
Barebells Soft Protein Bar Marshmallow Rocky Road 55 g,"€2,86",JA,31 g,32 g,18 g,1587 kJ,https://www.jumbo.com/producten/barebells-soft-protein-bar-marshmallow-rocky-road-55-g-630475PAK,2025-12-09 15:41:41,2.86,31.0,55.0,17.05,0.167742,0.91,1.0
Barebells Protein Bar Cookies & Cream 12 x 55 g,"€30,99",JA,37 g,31 g,12 g,1475 kJ,https://www.jumbo.com/producten/barebells-protein-bar-cookies-cream-12-x-55-g-305431DSL,2025-12-09 15:41:44,30.99,37.0,660.0,244.2,0.126904,0.97,1.0
Barebells Soft Protein Bar Peanut Caramel 55 g,"€2,96",JA,29 g,29 g,20 g,1640 kJ,https://www.jumbo.com/producten/barebells-soft-protein-bar-peanut-caramel-55-g-630478PAK,2025-12-09 15:41:47,2.96,29.0,55.0,15.95,0.18558,0.94,1.0
Barebells Protein Bar Creamy Crisp 55g,"€2,96",JA,35 g,29 g,14 g,1485 kJ,https://www.jumbo.com/producten/barebells-protein-bar-creamy-crisp-55g-677308PAK,2025-12-09 15:41:49,2.96,35.0,55.0,19.25,0.153766,0.95,1.0
Holie's Crunchy Bar Protein Peanut Chocolate 3 x 2 Stuks 6 x 20 g,"€3,26",JA,22 g,23.3 g,26.3 g,1921 kJ,https://www.jumbo.com/producten/holie-s-crunchy-bar-protein-peanut-chocolate-3-x-2-stuks-6-x-20-g-674217DS,2025-12-09 15:41:52,3.26,22.0,120.0,26.4,0.123485,0.87,1.0
Holie's Crunchy Bar Protein Peanut 6 x 20g,"€3,26",JA,23.0 g,18.0 g,29.0 g,1960.0 kJ,https://www.jumbo.com/producten/holie-s-crunchy-bar-protein-peanut-6-x-20g-717655DS,2025-12-09 15:41:54,3.26,23.0,120.0,27.6,0.118116,0.88,1.0
Nature Valley Protein Peanut and Chocolate Reep 4 x 40 g,"€4,09",JA,,,,,https://www.jumbo.com/producten/nature-valley-protein-peanut-and-chocolate-reep-4-x-40-g-348220DS,2025-12-09 15:41:57,4.09,,160.0,,,0.75,
Nature Valley Protein Salted Caramel Nut Reep 4 x 40 g,"€4,09",JA,,,,,https://www.jumbo.com/producten/nature-valley-protein-salted-caramel-nut-reep-4-x-40-g-348221DS,2025-12-09 15:41:59,4.09,,160.0,,,0.7,
Snickers Protein chocolade pinda caramel reep 47g,"€2,79",JA,23 g,42 g,17 g,1711 kJ,https://www.jumbo.com/producten/snickers-protein-chocolade-pinda-caramel-reep-47g-636148PAK,2025-12-09 15:42:02,2.79,23.0,47.0,10.81,0.258094,0.83,1.0
Mars Protein chocolade caramel reep 50g,"€2,79",JA,20 g,52 g,11 g,1580 kJ,https://www.jumbo.com/producten/mars-protein-chocolade-caramel-reep-50g-636149PAK,2025-12-09 15:42:05,2.79,20.0,50.0,10.0,0.279,0.8,1.0
B'tween Protein Pinda's & Chocolade 4 x 24g,"€2,61",JA,17.0 g,38.0 g,36.0 g,2297.0 kJ,https://www.jumbo.com/producten/b-tween-protein-pinda-s-chocolade-4-x-24g-612279DS,2025-12-09 15:42:07,2.61,17.0,96.0,16.32,0.159926,0.77,1.0
Nature Valley Protein Salted Caramel Nut 12 x 40 g,"€14,16",JA,26.0g,26.3g,29.5g,2067kJ / 496kcal,https://www.jumbo.com/producten/nature-valley-protein-salted-caramel-nut-12-x-40-g-629863DSL,2025-12-09 15:42:10,14.16,26.0,480.0,124.8,0.113462,0.86,1.0
Nature Valley Protein Peanut & Chocolate - 12 x 40 g,"€21,48",JA,26.6 g,27.5 g,28.3 g,2038 kJ/489 kcal,https://www.jumbo.com/producten/nature-valley-protein-peanut-chocolate-12-x-40-g-629862DSL,2025-12-09 15:42:12,21.48,26.6,480.0,127.68,0.168233,0.916,1.0
Upfront Eiwitreep Cripsy Vanille Kaneel 50g,"€2,49",JA,29.0 g,42.0 g,7.9 g,1544.0 kJ,https://www.jumbo.com/producten/upfront-eiwitreep-cripsy-vanille-kaneel-50g-708588PAK,2025-12-09 15:42:15,2.49,29.0,50.0,14.5,0.171724,1.0,0.9
Upfront Eiwitreep Cripsy Witte Choco Framboos 50g,"€2,49",JA,29.0 g,41.0 g,10.0 g,1608.0 kJ,https://www.jumbo.com/producten/upfront-eiwitreep-cripsy-witte-choco-framboos-50g-708603PAK,2025-12-09 15:42:17,2.49,29.0,50.0,14.5,0.171724,1.0,0.9
Upfront Eiwitreep Choco Zeezout 60g,"€2,69",JA,24.0 g,37.0 g,18.0 g,1774.0 kJ,https://www.jumbo.com/producten/upfront-eiwitreep-choco-zeezout-60g-708601PAK,2025-12-09 15:42:20,2.69,24.0,60.0,14.4,0.186806,1.0,0.9
LIGA Proteinereep Cranberry Noot Hazelnoot 160g,"€3,59",JA,14.00 g,55.00 g,19.00 g,1855 kJ,https://www.jumbo.com/producten/liga-proteinereep-cranberry-noot-hazelnoot-160g-446635DS,2025-12-09 15:42:23,3.59,14.0,160.0,22.4,0.160268,0.74,1.0
