Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
HiPRO Protein Drink Banaan 300 ml,"€2,49",JA,8.3 g,5.6 g,0.5 g,253.0 kJ,https://www.jumbo.com/producten/hipro-protein-drink-banaan-300-ml-607868FLS,2025-12-09 15:40:26
HiPRO Protein Drink Bosbes 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-bosbes-300-ml-585526FLS,2025-12-09 15:40:29
HiPRO Protein Drink Vanille Cookies 300 ml,"€2,49",JA,8.3 g,5.5 g,0.5 g,252.0 kJ,https://www.jumbo.com/producten/hipro-protein-drink-vanille-cookies-300-ml-433887FLS,2025-12-09 15:40:31
"Jumbo Smoothie Mix Proteïne Banaan, Mango, Drakenfruit & Erwteneiwit 250 g","€2,49",JA,4.0 g,14.9 g,0.7 g,361.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-mix-proteine-banaan-mango-drakenfruit-erwteneiwit-250-g-698541STK,2025-12-09 15:40:34
"Jumbo Smoothie Mix Proteïne Mango, Banaan, Spinazie & Erwteneiwit 250 g","€2,49",JA,4.1 g,13.9 g,0.56 g,340.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-mix-proteine-mango-banaan-spinazie-erwteneiwit-250-g-698504STK,2025-12-09 15:40:36
Starbucks Caffè Latte Protein Drink with Coffee 330 ml,"€2,69",JA,6.1g,4.1g,1.1g,215kJ/51kcal,https://www.jumbo.com/producten/starbucks-caffe-latte-protein-drink-with-coffee-330-ml-680583FLS,2025-12-09 15:40:39
Zuivelhoeve XXL Nutrition Fit Drink Strawberry Flavor Protein Drink 330 ml,"€2,39",JA,10.0 g,3.5 g,0.8 g,255.0 kJ,https://www.jumbo.com/producten/zuivelhoeve-xxl-nutrition-fit-drink-strawberry-flavor-protein-drink-330-ml-707505FLS,2025-12-09 15:40:41
Zuivelhoeve XXL Nutrition Fit Drink Chocolate Flavor Protein Drink 330 ml,"€2,39",JA,10 g,3.5 g,0.8 g,261 kJ / 62 kcal,https://www.jumbo.com/producten/zuivelhoeve-xxl-nutrition-fit-drink-chocolate-flavor-protein-drink-330-ml-707509ZK,2025-12-09 15:40:44
HiPRO Protein Drink Stracciatella 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-stracciatella-300-ml-547424FLS,2025-12-09 15:40:47
HiPRO Protein Drink Kokos 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-kokos-300-ml-613297FLS,2025-12-09 15:40:49
