Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Etos Styling mousse mega strong,"€1,89",NEE,,,,,https://www.ah.nl/producten/product/wi402793/etos-styling-mousse-mega-strong,2025-12-09 14:05:16
Pommery Champagne Brut Royal,"€43,99",JA,,,,,https://www.ah.nl/producten/product/wi160572/pommery-champagne-brut-royal,2025-12-09 14:05:19
Hola! Barcelona organic brut cava,"€7,59",NEE,0.4 g,1.9 g,0.4 g,389 kJ (93 kcal),https://www.ah.nl/producten/product/wi551417/hola-barcelona-organic-brut-cava,2025-12-09 14:05:22
AH Mousse koffie,"€1,55",NEE,5.5 g,20 g,24 g,1326 kJ (319 kcal),https://www.ah.nl/producten/product/wi438731,2025-12-09 14:05:26
AH Witte chocolade mousse,"€1,55",NEE,5.5 g,20 g,25 g,1363 kJ (328 kcal),https://www.ah.nl/producten/product/wi556371,2025-12-09 14:05:30
Andrélon Verrassend volume haarmousse,"€5,79",JA,,,,,https://www.ah.nl/producten/product/wi62089/andre%CC%81lon-verrassend-volume-haarmousse,2025-12-09 14:05:33
Almhof Yoghurt mousse aardbei,"€1,34",JA,4.4 g,14.5 g,6.4 g,570 kJ (136 kcal),https://www.ah.nl/producten/product/wi595149/almhof-yoghurt-mousse-aardbei,2025-12-09 14:05:35
Etos Styling mousse curl,"€2,99",NEE,,,,,https://www.ah.nl/producten/product/wi402794/etos-styling-mousse-curl,2025-12-09 14:05:38
Codorníu Clasico cava brut,"€7,99",NEE,,,,,https://www.ah.nl/producten/product/wi171617,2025-12-09 14:05:42
AH Excellent Mousse caramel crunch,"€2,49",NEE,2.6 g,27 g,23 g,1355 kJ (326 kcal),https://www.ah.nl/producten/product/wi583325/ah-excellent-mousse-caramel-crunch,2025-12-09 14:05:45
Krone Borealis vintage cuvée brut,"€9,99",NEE,,,,,https://www.ah.nl/producten/product/wi494523,2025-12-09 14:05:48
AH Excellent Selectie prosecco,"€7,99",NEE,,,,270 kJ (65 kcal),https://www.ah.nl/producten/product/wi435814,2025-12-09 14:05:51
Galilei Hugo,"€3,49",NEE,,,,,https://www.ah.nl/producten/product/wi217382,2025-12-09 14:05:55
Krone Vintage rosé cuvée brut,"€7,99",JA,,,,,https://www.ah.nl/producten/product/wi494524,2025-12-09 14:05:59
Barrels and drums Sparkling Alcoholvrij,"€8,79",JA,,,,,https://www.ah.nl/producten/product/wi385217/barrels-and-drums-sparkling-alcoholvrij,2025-12-09 14:06:02
